date,long sleeves,culottes,miniskirt,short sleeves,printed,short cardigan,solid colours,trapeze dress,sleeveless,long cardigan,sheath dress,short coat,medium coat,doll dress,long dress,shorts,long coat,tracksuit,drop sleeve,patterned,kimono dress,medium cardigan,shirt dress,maxi,capris,gitana skirt,long duster,yellow,brown,blue,grey,green,black,red,white,orange,violet,acrylic,scuba crepe,tulle,angora,faux leather,georgette,lurex,nice,crepe,satin cotton,silky satin,fur,matte jersey,plisse,velvet,lace,cotton,piquet,plush,bengaline,jacquard,frise,technical,cady,dark jeans,light jeans,ity,plumetis,polyviscous,dainetto,webbing,foam rubber,chanel,marocain,macrame,embossed,heavy jeans,nylon,tencel,paillettes,chambree,chine crepe,muslin cotton or silk,linen,tactel,viscose twill,cloth,mohair,mutton,scottish,milano stitch,devore,hron,ottoman,fluid,flamed,fluid polyviscous,shiny jersey,goose
10/5/2015,55,41,66,58,58,22,24,43,66,74,42,44,10,73,70,38,36,30,11,75,25,0,78.6,63,37,0,24,83,66,77,18,79,25,61,77,70,56,57,18,81,65,50,25,23,20,35,61,10,54,35,26,54,70,68,33,35,13,73,80,89,29,50,63,62,20,-1,0,55,46,73,81,54,56,55,86,36,18,0,20,-1,52,33,0,82,62,45,57,0,29,17,57,80,49,-1,0,34
10/12/2015,55,44,73,71,61,31,37,21.2,63,59,52,47,29,85,72,37,33,27,33,83,40,0,75,64,32,0,14,80,66,95,18,76,26,62,77,71,57,58,0,86,63,52,31,21,18,37,37,59,58,70,38,54,68,69,23,38,27,76,76,89,26,56,66,72,30,-1,0,54,72,72,80,56,74,32,85,39,12,0,27,-1,55,48,0,82,66,43,54,0,17,14,61,80,41,-1,0,39
10/19/2015,60,42,73,62,61,43,37,27.4,47,71,37,46,29,100,79,36,39,31,55,71,39,0,68.8,66,23,0,34,83,66,92,18,76,27,62,77,67,58,59,0,81,70,52,27,19,18,43,30,29,59,52,33,53,100,68,26,38,17,86,62,81,27,59,66,63,30,-1,0,57,43,69,83,48,66,23,86,32,14,30,47,-1,54,35,48,81,63,46,55,0,21,23,63,79,52,-1,33,41
10/26/2015,57,44,68,51,55,19,37,59.8,54,64,38,43,43,96,74,36,42,31,22,73,42,17,71.8,65,23,0,43,82,67,70,17,74,28,62,76,69,52,62,17,95,70,60,32,20,17,44,24,39,63,35,33,54,73,68,30,39,13,73,76,83,33,66,53,72,30,-1,0,54,72,69,81,46,63,46,85,38,16,0,27,-1,56,29,0,84,61,44,55,0,26,14,58,76,33,-1,32,37
11/2/2015,49,39,66,39,63,16,37,44,51,67,49,46,0,59,70,34,35,32,22,71,37,34,64.2,67,21,0,34,76,66,69,17,77,32,60,77,70,56,57,0,66,66,55,33,19,18,35,55,39,63,0,36,58,66,72,27,39,10,78,78,83,32,53,56,72,25,-1,0,66,64,69,91,48,55,47,85,34,20,0,27,-1,61,33,0,85,61,46,55,0,18,18,60,80,37,-1,98,38
11/9/2015,53,39,78,46,60,40,12,49.6,54,59,52,46,39,70,72,35,39,31,44,77,36,50,69,65,26,0,14,74,64,68,17,76,34,60,76,66,54,58,0,74,63,53,28,23,17,36,24,58,64,35,19,57,67,69,27,43,33,83,75,78,29,62,71,79,25,-1,0,55,43,71,79,48,64,46,79,36,16,30,13,-1,59,43,48,82,71,47,54,0,21,20,62,80,33,-1,0,37
11/16/2015,59,45,80,58,62,22,12,38.4,49,66,46,33,29,55,75,35,43,34,22,73,57,0,69,64,26,0,29,75,67,70,17,77,37,60,79,71,51,56,0,67,61,53,27,23,18,35,36,67,68,34,37,57,67,65,33,50,16,88,71,83,28,51,71,71,25,-1,0,56,74,70,81,48,64,23,83,33,15,30,46,-1,53,45,0,84,75,44,53,0,24,18,67,79,44,-1,32,42
11/23/2015,60,45,63,38,59,25,12,23.4,58,64,61,68,43,70,74,37,53,43,44,74,48,17,68.6,72,27,0,38,74,74,70,20,90,76,60,80,71,58,57,0,62,72,70,27,28,18,38,36,39,80,35,32,60,68,70,30,55,13,95,80,71,27,70,68,72,20,-1,0,61,46,78,81,53,67,23,83,33,27,60,27,-1,57,50,0,84,83,47,56,0,22,18,68,81,30,-1,0,55
11/30/2015,67,50,80,69,67,21,24,66,66,63,47,62,28,70,79,38,50,46,33,83,27,0,75.6,73,29,0,47,72,69,71,20,74,30,61,84,70,62,59,0,79,62,55,22,41,18,36,12,19,78,17,38,67,72,77,27,71,16,85,77,81,27,86,59,70,10,-1,0,60,56,84,79,44,79,54,84,32,25,30,33,-1,56,41,0,85,77,41,57,0,22,15,68,80,55,-1,0,48
12/7/2015,64,50,68,47,60,37,37,50,56,63,59,54,38,65,72,40,44,48,33,71,34,17,77.4,70,28,0,62,74,71,72,18,72,27,62,82,71,53,61,0,74,70,54,25,33,18,34,30,78,78,52,33,67,68,77,29,62,27,88,77,76,28,64,64,62,5,-1,0,43,45,88,80,43,80,31,85,25,32,30,27,-1,54,60,48,87,73,39,56,0,22,20,62,79,37,-1,0,42
12/14/2015,60,41,66,39,61,38,12,22.4,64,53,40,61,34,77,68,37,41,46,0,70,33,34,64.6,71,28,0,59,74,74,73,18,74,28,63,85,71,56,67,0,70,74,55,26,22,19,34,50,40,80,36,33,68,70,72,27,61,10,91,71,78,25,55,68,71,26,-1,0,53,56,90,81,46,73,48,82,24,29,0,21,-1,55,62,49,83,68,36,52,0,21,13,61,74,69,-1,0,44
12/21/2015,48,42,56,27,50,17,14,30.2,57,58,30,53,48,77,57,35,46,41,37,47,28,19,62.8,75,28,0,38,77,76,72,19,76,28,65,86,69,53,64,0,58,72,45,25,24,18,35,14,55,73,59,33,68,64,66,24,57,4,83,73,59,19,65,66,73,6,-1,0,34,62,96,90,45,62,9,82,34,33,0,46,-1,53,37,55,84,82,52,51,0,21,19,56,69,59,-1,0,54
12/28/2015,49,46,74,57,50,48,41,46.8,56,65,67,51,27,62,71,36,53,33,0,72,26,19,69.2,78,23,0,38,78,71,77,21,77,29,64,83,70,55,66,20,63,80,59,22,19,18,40,27,22,73,39,36,63,75,99,21,51,11,76,77,61,25,62,70,64,39,-1,100,40,54,81,91,46,57,26,83,43,31,0,45,-1,57,39,0,86,60,53,57,41,100,24,74,73,29,-1,0,46
1/4/2016,53,45,64,69,61,20,26,40,57,62,45,48,35,70,80,35,44,29,58,74,31,18,60.8,68,26,0,35,76,67,72,19,76,26,56,77,66,53,64,0,73,77,51,28,26,18,33,26,10,69,37,47,57,85,71,28,39,14,88,73,87,100,84,54,71,27,-1,0,44,56,70,81,49,64,8,83,37,20,32,72,-1,62,40,0,84,77,39,58,0,21,13,73,74,60,-1,70,43
1/11/2016,54,44,61,71,60,20,64,46.8,66,47,61,56,60,51,80,35,48,29,35,77,37,18,62,68,25,0,30,77,68,71,18,74,25,55,77,64,52,62,0,78,60,51,30,19,18,34,37,30,62,0,32,56,77,64,28,38,3,92,62,85,35,62,50,71,36,-1,0,41,56,72,73,50,73,40,76,45,16,62,7,-1,58,53,49,81,72,44,62,0,20,16,65,78,69,-1,34,39
